"","location_id","location_name","ISO3","Religion"
"1",160,"Afghanistan","AFG","Islam"
"2",168,"Angola","AGO","Christianity"
"3",43,"Albania","ALB","Islam"
"4",74,"Andorra","AND","Christianity"
"5",156,"United Arab Emirates","ARE","Islam"
"6",97,"Argentina","ARG","Christianity"
"7",33,"Armenia","ARM","Christianity"
"8",298,"American Samoa","ASM","Christianity"
"9",105,"Antigua and Barbuda","ATG","Christianity"
"10",71,"Australia","AUS","Christianity"
"11",75,"Austria","AUT","Christianity"
"12",34,"Azerbaijan","AZE","Islam"
"13",175,"Burundi","BDI","Christianity"
"14",76,"Belgium","BEL","Christianity"
"15",200,"Benin","BEN","Christianity"
"16",201,"Burkina Faso","BFA","Islam"
"17",161,"Bangladesh","BGD","Islam"
"18",45,"Bulgaria","BGR","Christianity"
"19",140,"Bahrain","BHR","Islam"
"20",106,"Bahamas","BHS","Christianity"
"21",44,"Bosnia and Herzegovina","BIH","Islam"
"22",57,"Belarus","BLR","Christianity"
"23",108,"Belize","BLZ","Christianity"
"24",305,"Bermuda","BMU","Christianity"
"25",121,"Bolivia (Plurinational State of)","BOL","Christianity"
"26",135,"Brazil","BRA","Christianity"
"27",107,"Barbados","BRB","Christianity"
"28",66,"Brunei Darussalam","BRN","Islam"
"29",162,"Bhutan","BTN","Buddhism"
"30",193,"Botswana","BWA","Christianity"
"31",169,"Central African Republic","CAF","Christianity"
"32",101,"Canada","CAN","Christianity"
"33",94,"Switzerland","CHE","Christianity"
"34",98,"Chile","CHL","Christianity"
"35",6,"China","CHN","Buddhism"
"36",205,"Côte d'Ivoire","CIV","Islam"
"37",202,"Cameroon","CMR","Christianity"
"38",171,"Democratic Republic of the Congo","COD","Christianity"
"39",170,"Congo","COG","Christianity"
"40",320,"Cook Islands","COK","Christianity"
"41",125,"Colombia","COL","Christianity"
"42",176,"Comoros","COM","Islam"
"43",203,"Cabo Verde","CPV","Christianity"
"44",126,"Costa Rica","CRI","Christianity"
"45",109,"Cuba","CUB","Christianity"
"46",77,"Cyprus","CYP","Christianity"
"47",47,"Czechia","CZE","Christianity"
"48",81,"Germany","DEU","Christianity"
"49",177,"Djibouti","DJI","Islam"
"50",110,"Dominica","DMA","Christianity"
"51",78,"Denmark","DNK","Christianity"
"52",111,"Dominican Republic","DOM","Christianity"
"53",139,"Algeria","DZA","Islam"
"54",122,"Ecuador","ECU","Christianity"
"55",141,"Egypt","EGY","Islam"
"56",178,"Eritrea","ERI","Christianity"
"57",92,"Spain","ESP","Christianity"
"58",58,"Estonia","EST","Christianity"
"59",179,"Ethiopia","ETH","Christianity"
"60",79,"Finland","FIN","Christianity"
"61",22,"Fiji","FJI","Christianity"
"62",80,"France","FRA","Christianity"
"63",25,"Micronesia (Federated States of)","FSM","Christianity"
"64",173,"Gabon","GAB","Christianity"
"65",95,"United Kingdom","GBR","Christianity"
"66",35,"Georgia","GEO","Christianity"
"67",207,"Ghana","GHA","Christianity"
"68",208,"Guinea","GIN","Islam"
"69",206,"Gambia","GMB","Islam"
"70",209,"Guinea-Bissau","GNB","Islam"
"71",172,"Equatorial Guinea","GNQ","Christianity"
"72",82,"Greece","GRC","Christianity"
"73",112,"Grenada","GRD","Christianity"
"74",349,"Greenland","GRL","Christianity"
"75",128,"Guatemala","GTM","Christianity"
"76",351,"Guam","GUM","Christianity"
"77",113,"Guyana","GUY","Christianity"
"78",129,"Honduras","HND","Christianity"
"79",46,"Croatia","HRV","Christianity"
"80",114,"Haiti","HTI","Christianity"
"81",48,"Hungary","HUN","Christianity"
"82",11,"Indonesia","IDN","Islam"
"83",163,"India","IND","Hinduism"
"84",84,"Ireland","IRL","Christianity"
"85",142,"Iran (Islamic Republic of)","IRN","Islam"
"86",143,"Iraq","IRQ","Islam"
"87",83,"Iceland","ISL","Christianity"
"88",85,"Israel","ISR","Judaism"
"89",86,"Italy","ITA","Christianity"
"90",115,"Jamaica","JAM","Christianity"
"91",144,"Jordan","JOR","Islam"
"92",67,"Japan","JPN","Shintoism"
"93",36,"Kazakhstan","KAZ","Islam"
"94",180,"Kenya","KEN","Christianity"
"95",37,"Kyrgyzstan","KGZ","Islam"
"96",10,"Cambodia","KHM","Buddhism"
"97",23,"Kiribati","KIR","Christianity"
"98",393,"Saint Kitts and Nevis","KNA","Christianity"
"99",68,"Republic of Korea","KOR","None"
"100",145,"Kuwait","KWT","Islam"
"101",12,"Lao People's Democratic Republic","LAO","Buddhism"
"102",146,"Lebanon","LBN","Islam"
"103",210,"Liberia","LBR","Christianity"
"104",147,"Libya","LBY","Islam"
"105",116,"Saint Lucia","LCA","Christianity"
"106",17,"Sri Lanka","LKA","Buddhism"
"107",194,"Lesotho","LSO","Christianity"
"108",60,"Lithuania","LTU","Christianity"
"109",87,"Luxembourg","LUX","Christianity"
"110",59,"Latvia","LVA","Christianity"
"111",148,"Morocco","MAR","Islam"
"112",367,"Monaco","MCO","Christianity"
"113",61,"Republic of Moldova","MDA","Christianity"
"114",181,"Madagascar","MDG","Christianity"
"115",14,"Maldives","MDV","Islam"
"116",130,"Mexico","MEX","Christianity"
"117",24,"Marshall Islands","MHL","Christianity"
"118",49,"North Macedonia","MKD","Christianity"
"119",211,"Mali","MLI","Islam"
"120",88,"Malta","MLT","Christianity"
"121",15,"Myanmar","MMR","Buddhism"
"122",50,"Montenegro","MNE","Christianity"
"123",38,"Mongolia","MNG","Buddhism"
"124",376,"Northern Mariana Islands","MNP","Christianity"
"125",184,"Mozambique","MOZ","Christianity"
"126",212,"Mauritania","MRT","Islam"
"127",183,"Mauritius","MUS","Hinduism"
"128",182,"Malawi","MWI","Christianity"
"129",13,"Malaysia","MYS","Islam"
"130",195,"Namibia","NAM","Christianity"
"131",213,"Niger","NER","Islam"
"132",214,"Nigeria","NGA","Islam"
"133",131,"Nicaragua","NIC","Christianity"
"134",374,"Niue","NIU","Christianity"
"135",89,"Netherlands","NLD","Christianity"
"136",90,"Norway","NOR","Christianity"
"137",164,"Nepal","NPL","Hinduism"
"138",369,"Nauru","NRU","Christianity"
"139",72,"New Zealand","NZL","Christianity"
"140",150,"Oman","OMN","Islam"
"141",165,"Pakistan","PAK","Islam"
"142",132,"Panama","PAN","Christianity"
"143",123,"Peru","PER","Christianity"
"144",16,"Philippines","PHL","Christianity"
"145",380,"Palau","PLW","Christianity"
"146",26,"Papua New Guinea","PNG","Christianity"
"147",51,"Poland","POL","Christianity"
"148",385,"Puerto Rico","PRI","Christianity"
"149",7,"Democratic People's Republic of Korea","PRK","None"
"150",91,"Portugal","PRT","Christianity"
"151",136,"Paraguay","PRY","Christianity"
"152",149,"Palestine","PSE","Islam"
"153",151,"Qatar","QAT","Islam"
"154",52,"Romania","ROU","Christianity"
"155",62,"Russian Federation","RUS","Christianity"
"156",185,"Rwanda","RWA","Christianity"
"157",152,"Saudi Arabia","SAU","Islam"
"158",522,"Sudan","SDN","Islam"
"159",216,"Senegal","SEN","Islam"
"160",69,"Singapore","SGP","Buddhism"
"161",28,"Solomon Islands","SLB","Christianity"
"162",217,"Sierra Leone","SLE","Islam"
"163",127,"El Salvador","SLV","Christianity"
"164",396,"San Marino","SMR","Christianity"
"165",187,"Somalia","SOM","Islam"
"166",53,"Serbia","SRB","Christianity"
"167",435,"South Sudan","SSD","Christianity"
"168",215,"Sao Tome and Principe","STP","Christianity"
"169",118,"Suriname","SUR","Christianity"
"170",54,"Slovakia","SVK","Christianity"
"171",55,"Slovenia","SVN","Christianity"
"172",93,"Sweden","SWE","Christianity"
"173",197,"Eswatini","SWZ","Christianity"
"174",186,"Seychelles","SYC","Christianity"
"175",153,"Syrian Arab Republic","SYR","Islam"
"176",204,"Chad","TCD","Islam"
"177",218,"Togo","TGO","Christianity"
"178",18,"Thailand","THA","Buddhism"
"179",39,"Tajikistan","TJK","Islam"
"180",413,"Tokelau","TKL","Christianity"
"181",40,"Turkmenistan","TKM","Islam"
"182",19,"Timor-Leste","TLS","Christianity"
"183",29,"Tonga","TON","Christianity"
"184",119,"Trinidad and Tobago","TTO","Christianity"
"185",154,"Tunisia","TUN","Islam"
"186",155,"Turkey","TUR","Islam"
"187",416,"Tuvalu","TUV","Christianity"
"188",8,"Taiwan (Province of China)","TWN","Folk"
"189",189,"United Republic of Tanzania","TZA","Christianity"
"190",190,"Uganda","UGA","Christianity"
"191",63,"Ukraine","UKR","Christianity"
"192",99,"Uruguay","URY","Christianity"
"193",102,"United States of America","USA","Christianity"
"194",41,"Uzbekistan","UZB","Islam"
"195",117,"Saint Vincent and the Grenadines","VCT","Christianity"
"196",133,"Venezuela (Bolivarian Republic of)","VEN","Christianity"
"197",422,"United States Virgin Islands","VIR","Christianity"
"198",20,"Viet Nam","VNM","Folk"
"199",30,"Vanuatu","VUT","Christianity"
"200",27,"Samoa","WSM","Christianity"
"201",157,"Yemen","YEM","Islam"
"202",196,"South Africa","ZAF","Christianity"
"203",191,"Zambia","ZMB","Christianity"
"204",198,"Zimbabwe","ZWE","Christianity"
